Carimbo de data/hora,"Your participation in this research study is voluntary, anonymous and greatly appreciated. You may choose not to participate. 

By clicking the “Agree” button below, you confirm that:
• you have read the information above
• you voluntarily agree to participate in the study

If you do not wish to participate, please click “Disagree.”",How familiar are you with Dutch travel behaviour and/or the ODiN survey specifically?,  What is your age?  ,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary,Q1. How plausible is this as a real Dutch person's travel day?,"Q2. If you rated below 3,  what makes it implausible?",Q3. Is this diary real or synthetic?,Q4. Optional comments on this diary
2026/07/07 06:05:36,Agree,Not familiar,18 to 24,4,,Synthetic (model-generated),,3,,Real (ODiN survey),,4,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Purposes don't fit the profile, Diary is too clean",Synthetic (model-generated),,3,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Trip sequence doesn't make sense",Synthetic (model-generated),,1,"Travel mode is unrealistic for this person, Trip sequence doesn't make sense, Distances are unrealistic, Purposes don't fit the profile",Real (ODiN survey),,5,,Synthetic (model-generated),,5,,Real (ODiN survey),,4,,Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),,5,,Synthetic (model-generated),,4,,Synthetic (model-generated),,5,,Real (ODiN survey),,2,"Travel mode is unrealistic for this person, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),
2026/07/07 07:07:40,Agree,Not familiar,25 to 34,3,,Synthetic (model-generated),,4,,Real (ODiN survey),,1,Too many or too few trips,Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),Bicycle and Pickup / Drop off people? ,4,,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Synthetic (model-generated),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,5,,Synthetic (model-generated),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,2,Trip timing is implausible,Synthetic (model-generated),,3,,Synthetic (model-generated),,4,,Synthetic (model-generated),
2026/07/07 07:09:15,Agree,Not familiar,25 to 34,1,"Trip sequence doesn't make sense, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,5,,Real (ODiN survey),,1,"Trip sequence doesn't make sense, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),,1,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),,1,"Travel mode is unrealistic for this person, Trip timing is implausible, Trip sequence doesn't make sense, Distances are unrealistic",Synthetic (model-generated),,1,Trip timing is implausible,Synthetic (model-generated),,4,,Real (ODiN survey),,5,,Real (ODiN survey),,3,,Real (ODiN survey),,1,Trip timing is implausible,Synthetic (model-generated),,3,,Real (ODiN survey),,2,Purposes don't fit the profile,Synthetic (model-generated),,2,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),,5,,Real (ODiN survey),,4,,Real (ODiN survey),
2026/07/07 07:19:14,Agree,Not familiar,25 to 34,2,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),"The sequence of second and third activity seems odd, unless there is one outward and one return trip",4,,Real (ODiN survey),,1,"Trip sequence doesn't make sense, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Purposes don't fit the profile",Synthetic (model-generated),,4,,Real (ODiN survey),,1,Distances are unrealistic,Synthetic (model-generated),,1,Distances are unrealistic,Synthetic (model-generated),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,2,"Nothing specific, just a gut feeling",Synthetic (model-generated),,2,Distances are unrealistic,Synthetic (model-generated),,5,,Real (ODiN survey),,2,Trip sequence doesn't make sense,Synthetic (model-generated),,1,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),,3,,Synthetic (model-generated),,2,"Distances are unrealistic, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),
2026/07/07 07:21:48,Agree,Not familiar,45 to 54,1,"Trip sequence doesn't make sense, Purposes don't fit the profile",Synthetic (model-generated),,5,,Real (ODiN survey),,2,Too many or too few trips,Synthetic (model-generated),,2,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,4,,Real (ODiN survey),,2,Distances are unrealistic,Synthetic (model-generated),,2,Distances are unrealistic,Synthetic (model-generated),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Synthetic (model-generated),,2,"Trip timing is implausible, Too many or too few trips",Synthetic (model-generated),,2,"Trip timing is implausible, Too many or too few trips",Synthetic (model-generated),,4,,Real (ODiN survey),,1,"Trip sequence doesn't make sense, Purposes don't fit the profile",Synthetic (model-generated),,3,"Trip timing is implausible, Distances are unrealistic, Too many or too few trips",Synthetic (model-generated),,2,Too many or too few trips,Synthetic (model-generated),
2026/07/07 07:22:38,Agree,Not familiar,18 to 24,3,,Real (ODiN survey),,2,Travel mode is unrealistic for this person,Synthetic (model-generated),,2,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),,3,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Purposes don't fit the profile",Synthetic (model-generated),,2,Trip timing is implausible,Synthetic (model-generated),,2,"Travel mode is unrealistic for this person, Trip timing is implausible",Synthetic (model-generated),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,2,"Distances are unrealistic, Too many or too few trips, Purposes don't fit the profile",Real (ODiN survey),,2,Trip timing is implausible,Synthetic (model-generated),,2,Too many or too few trips,Synthetic (model-generated),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,2,Diary is too clean,Synthetic (model-generated),,4,,Real (ODiN survey),
2026/07/07 08:19:11,Agree,Not familiar,35 to 44,2,Trip sequence doesn't make sense,Synthetic (model-generated),,5,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Purposes don't fit the profile",Synthetic (model-generated),,1,"Travel mode is unrealistic for this person, Distances are unrealistic, Purposes don't fit the profile",Synthetic (model-generated),,1,Distances are unrealistic,Synthetic (model-generated),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,3,,Synthetic (model-generated),,2,"Travel mode is unrealistic for this person, Trip timing is implausible, Trip sequence doesn't make sense, Distances are unrealistic, Purposes don't fit the profile",Synthetic (model-generated),,1,"Travel mode is unrealistic for this person, Trip sequence doesn't make sense",Synthetic (model-generated),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,1,"Trip timing is implausible, Trip sequence doesn't make sense, Distances are unrealistic",Synthetic (model-generated),
2026/07/07 08:48:34,Agree,Not familiar,25 to 34,3,,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,2,Diary is too clean,Synthetic (model-generated),,1,"Travel mode is unrealistic for this person, Purposes don't fit the profile",Synthetic (model-generated),,1,"Travel mode is unrealistic for this person, Purposes don't fit the profile",Synthetic (model-generated),,3,,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,2,"Nothing specific, just a gut feeling",Synthetic (model-generated),,2,"Trip timing is implausible, Purposes don't fit the profile",Synthetic (model-generated),,2,Trip timing is implausible,Synthetic (model-generated),,2,Travel mode is unrealistic for this person,Synthetic (model-generated),,1,"Trip timing is implausible, Distances are unrealistic",Synthetic (model-generated),,4,,Real (ODiN survey),,1,Trip timing is implausible,Synthetic (model-generated),
2026/07/07 08:52:40,Agree,Not familiar,25 to 34,2,"Trip timing is implausible, Too many or too few trips",Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Distances are unrealistic",Synthetic (model-generated),,2,Too many or too few trips,Synthetic (model-generated),,2,"Distances are unrealistic, Too many or too few trips",Real (ODiN survey),,2,Purposes don't fit the profile,Synthetic (model-generated),,2,Purposes don't fit the profile,Synthetic (model-generated),,3,Distances are unrealistic,Real (ODiN survey),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,2,Purposes don't fit the profile,Synthetic (model-generated),,2,"Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,2,"Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,2,Trip timing is implausible,Synthetic (model-generated),,2,Trip timing is implausible,Synthetic (model-generated),,1,"Trip timing is implausible, Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),
2026/07/07 08:54:15,Agree,Not familiar,18 to 24,5,,Real (ODiN survey),,4,,Synthetic (model-generated),,2,Purposes don't fit the profile,Synthetic (model-generated),,1,Purposes don't fit the profile,Synthetic (model-generated),,1,Travel mode is unrealistic for this person,Synthetic (model-generated),Picking people up on a bike seems very strange ,1,"Trip sequence doesn't make sense, Distances are unrealistic",Synthetic (model-generated),,3,,Real (ODiN survey),,4,,Synthetic (model-generated),,3,,Synthetic (model-generated),,5,,Real (ODiN survey),,4,"Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,3,,Real (ODiN survey),,4,,Real (ODiN survey),,3,,Synthetic (model-generated),,4,,Synthetic (model-generated),,2,"Travel mode is unrealistic for this person, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),
2026/07/07 09:02:14,Agree,Not familiar,18 to 24,3,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,3,,Real (ODiN survey),,4,,Real (ODiN survey),,5,,Real (ODiN survey),,3,,Synthetic (model-generated),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,3,,Real (ODiN survey),,2,Trip timing is implausible,Synthetic (model-generated),,5,,Real (ODiN survey),,2,Travel mode is unrealistic for this person,Synthetic (model-generated),,2,Distances are unrealistic,Synthetic (model-generated),,2,"Trip timing is implausible, Distances are unrealistic",Synthetic (model-generated),,2,"Trip timing is implausible, Diary is too clean",Synthetic (model-generated),
2026/07/07 09:13:07,Agree,Not familiar,35 to 44,2,Diary is too clean,Synthetic (model-generated),,3,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Trip timing is implausible, Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,3,,Real (ODiN survey),,1,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,2,Trip sequence doesn't make sense,Synthetic (model-generated),,4,,Real (ODiN survey),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,2,Purposes don't fit the profile,Synthetic (model-generated),,3,,Real (ODiN survey),,2,Too many or too few trips,Synthetic (model-generated),,2,Trip sequence doesn't make sense,Synthetic (model-generated),,1,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),,4,,Real (ODiN survey),,1,"Trip timing is implausible, Trip sequence doesn't make sense, Distances are unrealistic",Synthetic (model-generated),
2026/07/07 09:27:03,Agree,Not familiar,18 to 24,2,"Trip timing is implausible, Trip sequence doesn't make sense",Synthetic (model-generated),,5,,Real (ODiN survey),,1,"Trip timing is implausible, Trip sequence doesn't make sense, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,2,"Trip sequence doesn't make sense, Too many or too few trips",Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Purposes don't fit the profile",Synthetic (model-generated),,1,"Trip sequence doesn't make sense, Distances are unrealistic",Synthetic (model-generated),,2,"Trip sequence doesn't make sense, Distances are unrealistic",Synthetic (model-generated),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,2,"Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Real (ODiN survey),
2026/07/07 09:34:33,Agree,Not familiar,25 to 34,4,,Synthetic (model-generated),,1,Trip timing is implausible,Real (ODiN survey),,4,,Synthetic (model-generated),,4,,Real (ODiN survey),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,3,,Synthetic (model-generated),,5,,Real (ODiN survey),,4,,Synthetic (model-generated),,2,Purposes don't fit the profile,Synthetic (model-generated),,5,,Real (ODiN survey),,1,Too many or too few trips,Synthetic (model-generated),,1,Too many or too few trips,Synthetic (model-generated),,5,,Real (ODiN survey),,2,Too many or too few trips,Real (ODiN survey),,1,Too many or too few trips,Synthetic (model-generated),
2026/07/07 09:47:14,Agree,Not familiar,18 to 24,5,,Real (ODiN survey),,1,Trip timing is implausible,Synthetic (model-generated),,3,,Synthetic (model-generated),,1,Too many or too few trips,Synthetic (model-generated),,1,Travel mode is unrealistic for this person,Synthetic (model-generated),,5,,Real (ODiN survey),,1,"Travel mode is unrealistic for this person, Trip sequence doesn't make sense",Synthetic (model-generated),,5,,Real (ODiN survey),,4,,Real (ODiN survey),,4,,Real (ODiN survey),,2,Purposes don't fit the profile,Synthetic (model-generated),,1,Diary is too clean,Synthetic (model-generated),,1,Trip timing is implausible,Synthetic (model-generated),,2,Trip timing is implausible,Synthetic (model-generated),,4,,Real (ODiN survey),,1,Trip timing is implausible,Synthetic (model-generated),
2026/07/07 10:07:17,Agree,Not familiar,25 to 34,2,"Trip timing is implausible, Trip sequence doesn't make sense, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,5,,Real (ODiN survey),,2,Trip sequence doesn't make sense,Synthetic (model-generated),,2,Purposes don't fit the profile,Synthetic (model-generated),,4,,Real (ODiN survey),,2,"Purposes don't fit the profile, Nothing specific, just a gut feeling",Synthetic (model-generated),,2,"Travel mode is unrealistic for this person, Too many or too few trips, Purposes don't fit the profile",Synthetic (model-generated),,5,,Real (ODiN survey),,5,,Real (ODiN survey),,3,,Real (ODiN survey),,4,,Real (ODiN survey),,3,,Real (ODiN survey),,3,,Synthetic (model-generated),,5,,Real (ODiN survey),,3,,Real (ODiN survey),,4,,Real (ODiN survey),
